หมวด (Category),ช่วงรายละเอียด (Resolution range),กลุ่ม/แบนด์ (Group/Band),ดาวเทียม/โหมด (Satellite/Mode),รายละเอียดภาพ (Resolution),Polarization,ประเภทราคา 1 (Price type 1),ราคา 1 (Price 1),ประเภทราคา 2 (Price type 2),ราคา 2 (Price 2),หน่วย (Unit),หมายเหตุ (Note)
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Spotlight A,1 m.,,Single Look complex (บาท),"134,400",Path Image (บาท),"134,400",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Utra-Fine,3 m.,,Single Look complex (บาท),"86,400",Path Image (บาท),"86,400",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Wide Utra-Fine,3 m.,,Single Look complex (บาท),"124,800",Path Image (บาท),"124,800",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Multi-Look Fine,8 m.,,Single Look complex (บาท),"67,200",Path Image (บาท),"67,200",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Wide Multi-Look Fine,8 m.,,Single Look complex (บาท),"120,000",Path Image (บาท),"120,000",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Fine,8 m.,,Single Look complex (บาท),"57,600",Path Image (บาท),"57,600",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Wide,30 m.,,Single Look complex (บาท),"57,600",Path Image (บาท),"57,600",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),ScanSAR Narrow,50 m.,,Single Look complex (บาท),N/A,Path Image (บาท),"57,600",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),ScanSAR Wide,100 m.,,Single Look complex (บาท),N/A,Path Image (บาท),"57,600",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),"Extended High, Low",25 m.,,Single Look complex (บาท),"57,600",Path Image (บาท),"57,600",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Fine Quad-Pol,8 m.,,Single Look complex (บาท),"86,400",Path Image (บาท),N/A,บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Wide Fine Quad-Pol,8 m.,,Single Look complex (บาท),"124,800",Path Image (บาท),N/A,บาท/ภาพ,
